;buyer;count;;
262;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;S   ISS   CORSHAM;104;
263;CIRCLE K BOLLEBYGD,BOLLEBYGD,SE;104;;
264;CIRCLE K BOLLEBYGD,BOLLEBYGD,SE;104;;
265;K*Smartphoto;104;;
266;BURGER KING VIA,BORAS,SE;104;;
267;STORA COOP SISJÖN,ASKIM,SE;103;;
268;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;101;;
269;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;101;;
270;COOP KONSUM VIRSERUM,VIRSERUM,SE;101;;
271;Överf ISK; HOVE CITY COUNCIL;100;
272;Överf ISK;99;;
273;Mat Virserum;99;;
274;CIRCLE K ASKIM,ASKIM,SE;99;;
275;CIRCLE K NESSJO,NESSJO,SE;98;;
276;FREDRIK MOBERG;98;;
277;K*Coop.se;98;;
278;9025.19.457.76;98;;
279;Avbetalning bil Fredrik;97;;
280;9023.78.887.28;HPP);97;
281;FLUGGER AB S027,Askim,SE; KNOWSLEY TEACHING HOSPITALS NHS TRUST;97;
282;iZ *Svanstrom  Lin,Styrso,SE;97;;
283;iZ *Svanstrom  Lin,Styrso,SE;96;;
284;Spotify P1163C1786,Stockholm,SE;95;;
285;LIDL 274/GBG FROLUNDA,GOTEBORG,SE;95;;
286;Fredrik Moberg;94;;
287;GOOGLE *Google Play Ap,g.co/HelpPay#,IE;93;;
288;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;93;;
289;PREEM,ASKIM,SE;93;;
290;PREEM,ASKIM,SE;93;;
291;BAUHAUS SISJON,VESTRA FROLUN,SE;92;;
292;Mat;92;;
293;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;92;;
294;CIRCLE K NESSJO,NESSJO,SE;92;;
295;EKHAGENS PIZZERIA,JÖNKÖPING,SE;91;;
296;COOP KONSUM VIRSERUM,VIRSERUM,SE;91;;
297;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;91;;
298;MCD 066 - A6 MC,JONKOPING,SE;91;;
299;LINDEX/39,OSKARSHAMN,SE;91;;
300;Bensib;90;;
301;Mat;90;;
302;MICROSOFT*MICROSOFT 36,MSBILL.INFO,IE;90;;
303;BAUHAUS SISJON,VESTRA FROLUN,SE;89;;
304;WILLYS SISJÖN,ASKIM,SE;89;;
305;ÅTERBETALNIN;89;;
306;COLORAMA ASKIM,ASKIM,SE;88;;
307;COLORAMA ASKIM,ASKIM,SE;87;;
308;MAXI ICA STORMARKNAD H,VASTRA FROLUN,SE;87;;
309;WILLYS SISJÖN,ASKIM,SE;87;;
310;PARKERINGSBOLAGET,GOTEBORG,SE;87;;
311;CIRCLE K ASKIM,ASKIM,SE; Cleveland Borough Council;87;
312;JULA AB,ASKIM,SE;86;;
313;BAUHAUS SISJON,VESTRA FROLUN,SE;86;;
314;RUSTA SISJON 46,ASKIM,SE;86;;
315;Flyttsaker;86;;
316;biltema lampa;85;;
317;CLAS OHLSON,ASKIM,SE;85;;
318;CIRCLE K ASKIM,ASKIM,SE;85;;
319;SPORTSHOPEN SIS,ASKIM,SE;84;;
320;HALLON.SE,Stockholm,SE;84;;
321;NETFLIX.COM,020790637,NL;84;;
322;HALLON.SE,Stockholm,SE;83;;
323;GOOGLE  Google Play Ap,London,GB;83;;
324;SMSPARK.SE,MOLNDAL,SE;83;;
325;K*Coop.se;83;;
326;Jysk Vastra Frolunda,Vastra Frolun,SE;82;;
327;INTERSPORT GOTE,VASTRA FROLUN,SE; Staffordshire Moorlands District Council;82;
328;CIRCLE K ASKIM,ASKIM,SE;82;;
329;REPAIRHOUSE AB,Vastra Frolun,SE;82;;
330;SPORTSHOPEN SIS,ASKIM,SE;81;;
331;XXL SPORT &VILD,ASKIM,SE;81;;
332;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;81;;
333;KLÄDER BARNEN;80;;
334;MAT;80;;
335;WILLYS;80;;
336;WILLYS SISJÖN,ASKIM,SE;80;;
337;GYLLENE KORVEN,Askim,SE;79;;
338;Överf ISK;79;;
339;Överf ISK;79;;
340;ASKIMS CAMPING,ASKIM,SE;77;;
341;ASKIMS CAMPING,ASKIM,SE;77;;
342;GOOGLE  Google Play Ap,London,GB;77;;
343;K*Coop.se;77;;
344;XXL SPORT &VILD,ASKIM,SE;76;;
345;IKANO BANK AB - PREEM;76;;
346;MAT;75;;
347;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;75;;
348;9025.19.457.76;74;;
349;Avbetalning bil Fredrik;74;;
350;9023.78.887.28;73;;
351;Spotify P1102EA02C,Stockholm,SE;73;;
352;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;73;;
353;Blocketannons 20 kr;73;;
354;Blocketannons 30 kr;73;;
355;Mat;73;;
356;Blocketannons 50 kr;73;;
357;Fredrik Moberg;73;;
358;GOTEBORGS GODISAFFAR,ASKIM,SE;73;;
359;STORA COOP SISJÖN,ASKIM,SE;72;;
360;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;72;;
361;Mat;72;;
362;Cykel g;72;;
363;ASKIMS CAMPING,ASKIM,SE;71;;
364;Microsoft*Microsoft 36,msbill.info,IE;71;;
365;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;71;;
366;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;70;;
367;PREEM,ASKIM,SE;70;;
368;STORA COOP SISJÖN,ASKIM,SE;69;;
369;BAUHAUS SISJON,VESTRA FROLUN,SE;69;;
370;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;69;;
371;WILLYS SISJÖN,ASKIM,SE;69;;
372;WILLYS SISJÖN,ASKIM,SE;69;;
373;Fredrik Moberg;69;;
374;Fredrik Moberg;68;;
375;CIRCLE K ASKIM,ASKIM,SE;68;;
376;Mat;68;;
377;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;68;;
378;CLAS OHLSON,ASKIM,SE;67;;
379;RUSTA SISJON 46,ASKIM,SE;67;;
380;TRIUMF GLASS OCH GODIS,VESTRA FROLUN,SE;67;;
381;OKQ8,VÄSTRA FRÖLUN,SE;67;;
382;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;67;;
383;Fredrik Moberg;67;;
384;Mat;66;;
385;MEKONOMENTORPAV,GÖTEBORG,SE;66;;
386;CIRCLE K GOTEBORG MUNK,GOTEBORG,SE;66;;
387;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;66;;
388;KD APOTEK,ASKIM,SE;66;;
389;JULA AB,ASKIM,SE;66;;
390;ASKIMS CAMPING,ASKIM,SE;65;;
391;ASKIMS CAMPING,ASKIM,SE;65;;
392;ASKIMSBADET,ASKIM,SE;65;;
393;ASKIMSBADET,ASKIM,SE;65;;
394;WILLYS SISJÖN,ASKIM,SE;65;;
395;BRODHUSET,ASKIM,SE;65;;
396;MAT  WILLY;65;;
397;MAT;64;;
398;MAT WILLYS;64;;
399;HALLON GUSTAF;64;;
400;HALLON FREJA;64;;
401;PLANTAGEN ASKIM,ASKIM,SE;64;;
402;BLOMSTERLANDET,ASKIM,SE;64;;
403;WILLYS SISJÖN,ASKIM,SE;63;;
404;PARKERINGSBOLAGET,GOTEBORG,SE; Deane Borough Council;63;
405;HALLON.SE,Stockholm,SE;63;;
406;HALLON.SE,Stockholm,SE;62;;
407;GOOGLE  Google Play Ap,London,GB;62;;
408;NETFLIX.COM,020790637,NL;62;;
409;GOOGLE  Google Play Ap,London,GB; Sport;62;
410;APOTEK HJARTAT ICA MAX,VASTRA FROLUN,SE;62;;
411;MAXI ICA STORMARKNAD H,VASTRA FROLUN,SE; Transplant;62;
412;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;61;;
413;ICA NARA HAGA,GOTEBORG,SE;60;;
414;INET RINGON,GOTEBORG,SE;60;;
415;INTER BOWLING MAJORNA,GOTEBORG,SE;60;;
416;PARKERINGSBOLAGET,GOTEBORG,SE;59;;
417;CLAS OHLSON,ASKIM,SE;59;;
418;WILLYS SISJÖN,ASKIM,SE;59;;
419;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;59;;
420;CLAS OHLSON,FROLUNDA TORG,SE;59;;
421;Överf ISK;59;;
422;Överf ISK;59;;
423;GOOGLE  Google Play Apps,London,GB;58;;
424;PodMe,Stockholm,SE;58;;
425;BEERISTA,GOTEBORG,SE;58;;
426;9025.19.457.76;58;;
427;Avbetalning bil Fredrik;58;;
428;9023.78.887.28;58;;
429;IKANO BANK AB - PREEM;57;;
430;9023.94.307.61; Investments;57;
431;9023.94.307.61;57;;
432;SANGUINE,GOTEBORG,SE;57;;
433;Fredrik Moberg;57;;
434;WILLYS SISJÖN,ASKIM,SE;57;;
435;GOTEBORGS BOTANISKA TR,GOTEBORG,SE;56;;
